joint_damping,joint_frictionloss,joint_armature,floor_friction,qerr_mean,sat_mean,velx_abs_mean,fall_ratio,score
0.0,0.2,0.005,0.8,0.061069830270302425,0.90475,0.10227070669062362,0.408,5.016275013885917
0.0,0.2,0.005,1.0,0.061069830270302425,0.90475,0.10227070669062362,0.408,5.016275013885917
0.0,0.2,0.005,1.2,0.06146867700602628,0.9033333333333332,0.10151176949608416,0.418,5.041026572093427
0.0,0.4,0.005,0.8,0.06315184187341279,0.88975,0.09636286037285453,0.505,5.248485113933254
0.0,0.4,0.005,1.0,0.06315184187341279,0.88975,0.09636286037285453,0.505,5.248485113933254
0.1,0.2,0.005,0.8,0.06278686687695094,0.9001666666666667,0.09611226525054344,0.492,5.25029653304584
0.1,0.2,0.005,1.0,0.06278686687695094,0.9001666666666667,0.09611226525054344,0.492,5.25029653304584
0.0,0.2,0.01,0.8,0.0740741903330985,0.8629166666666667,0.09024278211568207,0.549,5.291936438390706
0.0,0.2,0.01,1.0,0.0740741903330985,0.8629166666666667,0.09024278211568207,0.549,5.291936438390706
0.1,0.2,0.005,1.2,0.06336209406786837,0.9043333333333332,0.09338224456860453,0.507,5.311748643753371
0.0,0.2,0.01,1.2,0.07406718799185512,0.86025,0.08568972509456717,0.58,5.371979238530994
0.0,0.4,0.005,1.2,0.06362478909711312,0.8935833333333333,0.09530068159773332,0.562,5.435233252326426
0.1,0.2,0.01,1.2,0.0738298586402023,0.8564166666666666,0.08050413312724043,0.651,5.566578450510692
0.1,0.2,0.01,0.8,0.07372756241746838,0.8591666666666666,0.07736066798189017,0.66,5.602802125492549
0.1,0.2,0.01,1.0,0.07372756241746838,0.8591666666666666,0.07736066798189017,0.66,5.602802125492549
0.2,0.2,0.005,0.8,0.06542921375858445,0.917,0.08380689420004853,0.593,5.619761874617193
0.2,0.2,0.005,1.0,0.06542921375858445,0.917,0.08380689420004853,0.593,5.619761874617193
0.1,0.4,0.005,0.8,0.06522141161074142,0.8946666666666666,0.08170300589934376,0.642,5.675960992837822
0.1,0.4,0.005,1.0,0.06522141161074142,0.8946666666666666,0.08170300589934376,0.642,5.675960992837822
0.2,0.2,0.005,1.2,0.06559431887973732,0.91875,0.08268239784343086,0.614,5.68952983668119
0.0,0.4,0.01,1.2,0.07529065784736307,0.8593333333333334,0.08104189479251915,0.711,5.76143559642432
0.1,0.4,0.005,1.2,0.06577583656447757,0.89725,0.07875743382872263,0.67,5.769930390043316
0.0,0.4,0.01,1.0,0.0749756330766158,0.8556666666666666,0.07607845372026349,0.731,5.80365715968003
0.0,0.4,0.01,0.8,0.0749756330766158,0.8556666666666666,0.07607845372026349,0.731,5.80365715968003
0.0,0.6,0.005,1.2,0.0659547872165443,0.8856666666666665,0.07826561887592916,0.726,5.8917090505377185
0.2,0.2,0.01,1.0,0.07437644864900593,0.86325,0.07790116675332058,0.751,5.893703480674672
0.2,0.2,0.01,0.8,0.07437644864900593,0.86325,0.07790116675332058,0.751,5.893703480674672
0.0,0.6,0.005,0.8,0.06566443364043585,0.8863333333333333,0.07952319968083807,0.729,5.903423800454624
0.0,0.6,0.005,1.0,0.06566443364043585,0.8863333333333333,0.07952319968083807,0.729,5.903423800454624
0.2,0.2,0.01,1.2,0.07473899805073426,0.8649166666666667,0.076939611547316,0.77,5.957614468541792
0.1,0.4,0.01,0.8,0.07544067556573411,0.8549166666666667,0.07349734082650569,0.803,6.016296688211389
0.1,0.4,0.01,1.0,0.07544067556573411,0.8549166666666667,0.07349734082650569,0.803,6.016296688211389
0.2,0.4,0.005,0.8,0.06761031676490775,0.9075,0.07710206927799515,0.759,6.080771668168813
0.2,0.4,0.005,1.0,0.06761031676490775,0.9075,0.07710206927799515,0.759,6.080771668168813
0.1,0.4,0.01,1.2,0.07551784142340943,0.8559166666666667,0.07147012667078785,0.828,6.094437412848879
0.2,0.4,0.005,1.2,0.06780919830064684,0.9076666666666666,0.07559014124246889,0.771,6.1170801338891945
0.0,0.2,0.02,0.8,0.09333072205368186,0.8691666666666666,0.06983122419577155,0.816,6.146243722871916
0.0,0.2,0.02,1.0,0.09333072205368186,0.8691666666666666,0.06983122419577155,0.816,6.146243722871916
0.0,0.6,0.01,1.2,0.07663937908581758,0.8534166666666666,0.06572213151282705,0.849,6.146806490594714
0.0,0.6,0.01,0.8,0.07669806048771766,0.8495,0.06494454645072341,0.857,6.154868394200797
0.0,0.6,0.01,1.0,0.07669806048771766,0.8495,0.06494454645072341,0.857,6.154868394200797
0.1,0.6,0.005,1.2,0.06831805525110446,0.8835,0.07125337998959626,0.826,6.184262800497006
0.1,0.6,0.005,0.8,0.06809882137705481,0.887,0.07363275070474987,0.826,6.199014018106484
0.1,0.6,0.005,1.0,0.06809882137705481,0.887,0.07363275070474987,0.826,6.199014018106484
0.1,0.2,0.02,1.0,0.0889013646630553,0.85175,0.06378854439544268,0.867,6.217697001523832
0.1,0.2,0.02,0.8,0.0889013646630553,0.85175,0.06378854439544268,0.867,6.217697001523832
0.2,0.4,0.01,1.2,0.07659204300038905,0.86625,0.06370723280421257,0.862,6.236037702402884
0.2,0.4,0.01,1.0,0.07631032737926627,0.8629166666666667,0.06500449398243272,0.868,6.240789568416416
0.2,0.4,0.01,0.8,0.07631032737926627,0.8629166666666667,0.06500449398243272,0.868,6.240789568416416
0.2,0.2,0.02,1.2,0.08673693257082643,0.8346666666666668,0.058161656576620514,0.907,6.262221360096631
0.0,0.2,0.02,1.2,0.09360937067183403,0.8770833333333332,0.07281419722925651,0.852,6.287959173291629
0.1,0.2,0.02,1.2,0.08910052494381643,0.8533333333333333,0.06587935590126875,0.888,6.2884740611716
0.2,0.2,0.02,1.0,0.08653064465434983,0.8336666666666667,0.05730499917139954,0.919,6.293380455561067
0.2,0.2,0.02,0.8,0.08653064465434983,0.8336666666666667,0.05730499917139954,0.919,6.293380455561067
0.1,0.6,0.01,1.0,0.07734543939252256,0.85325,0.05939292991720257,0.9,6.297387343743646
0.1,0.6,0.01,0.8,0.07734543939252256,0.85325,0.05939292991720257,0.9,6.297387343743646
0.1,0.6,0.01,1.2,0.07748104594156102,0.8518333333333332,0.06282262099128273,0.907,6.314706735712096
0.2,0.4,0.02,0.8,0.08617398310172485,0.8238333333333333,0.04873766847410981,0.942,6.318050133773837
0.2,0.4,0.02,1.0,0.08617398310172485,0.8238333333333333,0.04873766847410981,0.942,6.318050133773837
0.1,0.4,0.02,0.8,0.08749918918484628,0.83725,0.05348718692382225,0.928,6.334741971831604
0.1,0.4,0.02,1.0,0.08749918918484628,0.83725,0.05348718692382225,0.928,6.334741971831604
0.2,0.4,0.02,1.2,0.08625141396056853,0.82825,0.048178746855285684,0.945,6.34459220134878
0.0,0.4,0.02,0.8,0.09032987778364779,0.8536666666666668,0.05973176694218721,0.911,6.358192305705057
0.0,0.4,0.02,1.0,0.09032987778364779,0.8536666666666668,0.05973176694218721,0.911,6.358192305705057
0.1,0.4,0.02,1.2,0.08747791569363413,0.8381666666666667,0.053923849423413134,0.938,6.368584422765641
0.0,0.4,0.02,1.2,0.0904556146352595,0.85625,0.06214511881807067,0.914,6.378983788679554
0.1,0.6,0.02,1.0,0.08697685993480454,0.8345,0.04418673383510166,0.955,6.39904708678716
0.1,0.6,0.02,0.8,0.08697685993480454,0.8345,0.04418673383510166,0.955,6.39904708678716
0.1,0.6,0.02,1.2,0.08694293598135686,0.8344166666666666,0.046498892884757385,0.96,6.414801985071759
0.2,0.6,0.02,1.2,0.0866293656543718,0.8331666666666665,0.04135692078721741,0.963,6.4156038583690185
0.2,0.6,0.01,1.2,0.078506262404734,0.85075,0.055356319153463375,0.944,6.419690684386199
0.0,0.6,0.02,1.2,0.0883591585589841,0.8455,0.05262225865592247,0.948,6.429029446445929
0.2,0.6,0.02,1.0,0.08668075532992815,0.8336666666666668,0.040409431112783126,0.969,6.435232892882915
0.2,0.6,0.02,0.8,0.08668075532992815,0.8336666666666668,0.040409431112783126,0.969,6.435232892882915
0.0,0.6,0.02,0.8,0.08848859726049815,0.8465833333333332,0.04984846133043141,0.949,6.435234758519544
0.0,0.6,0.02,1.0,0.08848859726049815,0.8465833333333332,0.04984846133043141,0.949,6.435234758519544
0.2,0.6,0.01,0.8,0.07851386466441582,0.8576666666666666,0.05418442843156321,0.942,6.440786610211279
0.2,0.6,0.01,1.0,0.07851386466441582,0.8576666666666666,0.05418442843156321,0.942,6.440786610211279
0.2,0.6,0.005,1.2,0.07087175845600996,0.8950833333333332,0.06379702801621437,0.897,6.44497536425346
0.2,0.6,0.005,1.0,0.07057813667427425,0.90075,0.06668547119931485,0.891,6.450499008948206
0.2,0.6,0.005,0.8,0.07057813667427425,0.90075,0.06668547119931485,0.891,6.450499008948206
