Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00555840377495149,-2.19858108875884E-05,-0.0338534350070039,0,0,0,0.419586541227121,0.000312095321114988,2.50695119161725E-08,-6.90599475069062E-06,0.000387742385307298,4.11379473740516E-08,0.000639007842405834,0,0,0,0,0,0,package://qwe.SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://qwe.SLDASM/meshes/base_link.STL,,电池仓后部-1;主板-1;电机驱动板-1;主板-2;舵机控制板-1;腿部固定总成_对称-1/MG996R-1;腿部固定总成_对称-1/舵机固定件_轴承_机体部分_对称-1;腿部固定总成-1/MG996R-1;腿部固定总成-1/舵机固定件_轴承_机体部分-1;腿部固定总成_对称-2/MG996R-1;腿部固定总成_对称-2/舵机固定件_轴承_机体部分_对称-1;稳压-1;腿部固定总成-2/MG996R-1;腿部固定总成-2/舵机固定件_轴承_机体部分-1;电池仓前部-1;电池底板-1;腿部固定总成-2/6706一30x37x4轴承-1;腿部固定总成_对称-1/6706一30x37x4轴承-1;腿部固定总成_对称-2/6706一30x37x4轴承-1;腿部固定总成-1/6706一30x37x4轴承-1,00,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
big_qian_zuo,0.00598678395976224,1.98653760603157E-06,-0.0461649985361685,0,0,0,0.0494865350740823,2.43542348789758E-05,7.75557557316936E-10,-2.53299401409177E-06,2.49490121099917E-05,3.23687605066671E-09,8.45453181596326E-06,0,0,0,0,0,0,package://qwe.SLDASM/meshes/big_qian_zuo.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://qwe.SLDASM/meshes/big_qian_zuo.STL,,大腿总成-4/舵机固定件_大腿-1;大腿总成-4/MG996R-1,1_1,1_01,big_qian_zuo_joint,revolute,0.0762094291442094,0.0903,-0.0234011305178569,-0.0308855290297457,-0.00706008448016331,-1.57057820480458,base_link,0.999999932595868,-0.000367162441960122,0,1,1,-3,3,,,,,,,,
small_qian_zuo,0.00767726535709001,2.66992835226687E-06,-0.0417242038743062,0,0,0,0.0485888194618554,5.53620086864661E-05,-1.0875528646771E-12,-9.32800169431362E-07,4.64562167462947E-05,-3.6740556524865E-12,1.03749534177239E-05,0,0,0,0,0,0,package://qwe.SLDASM/meshes/small_qian_zuo.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://qwe.SLDASM/meshes/small_qian_zuo.STL,,大腿总成-4/舵盘-1;大腿总成-4/6706一30x37x4轴承-1;小腿总成-5/m3x25铜柱-1;小腿总成-5/m3x25铜柱-3;小腿总成-5/m3x25铜柱-2;小腿总成-5/m3x25铜柱-4;小腿总成-5/电机座-1;小腿总成-5/电机-1;小腿总成-5/小腿电机-1;小腿总成-5/小腿-1,2_1,2_01,small_qian_zuo_joint,revolute,-0.0232348253078274,0,-0.0614783303018983,0.150944016190387,0.00706345307050266,0,big_qian_zuo,1,0,0,1,1,-3,3,,,,,,,,
last_qian_zuo,-0.0149999999999998,-5.82867087928207E-16,1.38777878078145E-16,0,0,0,0.149109068746913,0.000118053785956217,1.22252890212675E-18,-9.42524443498174E-19,7.00002951751582E-05,5.05043394797974E-21,7.00002951751582E-05,0,0,0,0,0,0,package://qwe.SLDASM/meshes/last_qian_zuo.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://qwe.SLDASM/meshes/last_qian_zuo.STL,,小腿总成-5/轮子-1,3_1,3_01,last_qian_zuo_last,continuous,0.0559999999999992,0,-0.0800000000000008,1.42873540434818,0,0,small_qian_zuo,-1,0,0,1,1,-3,3,,,,,,,,
big_qian_you,-0.00631271616099918,-1.9860585745296E-06,-0.0461215595607491,0,0,0,0.0494865356273923,2.43892239576833E-05,7.52722720596035E-10,2.42043823170891E-06,2.49490122157885E-05,-3.24150248933336E-09,8.41954297295392E-06,0,0,0,0,0,0,package://qwe.SLDASM/meshes/big_qian_you.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://qwe.SLDASM/meshes/big_qian_you.STL,,大腿总成-3/舵机固定件_大腿-1;大腿总成-3/MG996R-1,1_4,1_04,big_qian_you_joint,revolute,0.0762094291442093,-0.0902999999999995,-0.023401130517856,-0.0225559175818486,0,-1.57079632679133,base_link,-1,0,0,1,1,-3,3,,,,,,,,
small_qian_you,-0.00767726462148824,-2.65533010727903E-06,-0.0417238698915572,0,0,0,0.0485888184351272,5.53620073110566E-05,-1.11009066465463E-12,9.32799740938875E-07,4.6456215295849E-05,2.31993670034056E-12,1.0374953348037E-05,0,0,0,0,0,0,package://qwe.SLDASM/meshes/small_qian_you.STL,0.831372549019608,0.670588235294118,0.129411764705882,1,0,0,0,0,0,0,package://qwe.SLDASM/meshes/small_qian_you.STL,,大腿总成-3/6706一30x37x4轴承-1;大腿总成-3/舵盘-1;小腿总成-4/m3x25铜柱-3;小腿总成-4/m3x25铜柱-1;小腿总成-4/m3x25铜柱-4;小腿总成-4/m3x25铜柱-2;小腿总成-4/电机座-1;小腿总成-4/电机-1;小腿总成-4/小腿电机-1;小腿总成-4/小腿-1,2_4,2_04,small_qian_you_joint,revolute,0.0227999999999998,0,-0.0616409133919568,0.227738111732279,0,0,big_qian_you,-1,0,0,1,1,-3,3,,,,,,,,
last_qian_you,-0.015,-2.22044604925031E-16,4.30211422042248E-16,0,0,0,0.149109068746913,0.000118053785956217,7.49965213635504E-19,-1.36735576476358E-18,7.00002951751581E-05,3.81164826262279E-21,7.00002951751581E-05,0,0,0,0,0,0,package://qwe.SLDASM/meshes/last_qian_you.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://qwe.SLDASM/meshes/last_qian_you.STL,,小腿总成-4/轮子-1,3_4,3_04,last_qian_you_joint,continuous,-0.0559999999999992,0,-0.0800000000000008,1.79798018624836,0,3.14159265358977,small_qian_you,-1,0,0,1,1,-3,3,,,,,,,,
big_hou_you,-0.00631271631098991,-1.98797039906162E-06,-0.0461215608870768,0,0,0,0.0494865335752321,2.43892234060449E-05,7.52531112419532E-10,2.42043806203214E-06,2.49490119102213E-05,-3.24455682280894E-09,8.41954265338489E-06,0,0,0,0,0,0,package://qwe.SLDASM/meshes/big_hou_you.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://qwe.SLDASM/meshes/big_hou_you.STL,,大腿总成-1/舵机固定件_大腿-1;大腿总成-1/MG996R-1,1_3,1_03,big_hou_you_joint,revolute,-0.0751582217541418,-0.0902999999999995,-0.0265312205103236,0.0149893111120794,0,-1.5707963267949,base_link,-1,0,0,1,1,-3,3,,,,,,,,
small_hou_you,-0.00759256988193033,1.61676053815618E-06,-0.0413971078381016,0,0,0,0.0477234162237091,5.53092111248223E-05,-1.08678276568245E-12,9.32925992360023E-07,4.64320842914699E-05,2.01516401601926E-12,1.0317434425566E-05,0,0,0,0,0,0,package://qwe.SLDASM/meshes/small_hou_you.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://qwe.SLDASM/meshes/small_hou_you.STL,,小腿总成-1/小腿电机-1;小腿总成-1/电机-1;小腿总成-1/m3x25铜柱-4;小腿总成-1/m3x25铜柱-2;小腿总成-1/m3x25铜柱-1;小腿总成-1/m3x25铜柱-3;大腿总成-1/舵盘-1;大腿总成-1/6706一30x37x4轴承-1;小腿总成-1/小腿-1,2_3,2_03,small_hou_you_joint,continuous,0.0227999999999996,-5.65848566776578E-05,-0.061640913391956,0.335987949934926,0,0,big_hou_you,1,0,0,1,1,-3,3,,,,,,,,
last_hou_you,-0.015,-1.66533453693773E-16,4.30211422042248E-16,0,0,0,0.149109068746913,0.000118053785956217,5.57648275291524E-19,-1.39308216264826E-18,7.00002951751582E-05,1.66441974135308E-20,7.00002951751582E-05,0,0,0,0,0,0,package://qwe.SLDASM/meshes/last_hou_you.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://qwe.SLDASM/meshes/last_hou_you.STL,,小腿总成-1/轮子-1,3_3,3_03,last_hou_you_joint,continuous,-0.0559999999999994,0,-0.0800000000000007,1.94377525314493,0,3.14159265358977,small_hou_you,-1,0,0,1,1,-3,3,,,,,,,,
big_hou_zuo,0.00631271561445132,1.98128177643364E-06,-0.0461215566734371,0,0,0,0.0494865426873977,2.43892264532237E-05,7.53191921504714E-10,-2.42043846524896E-06,2.49490143980449E-05,3.23355865159583E-09,8.41954352575737E-06,0,0,0,0,0,0,package://qwe.SLDASM/meshes/big_hou_zuo.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://qwe.SLDASM/meshes/big_hou_zuo.STL,,大腿总成-2/舵机固定件_大腿-1;大腿总成-2/MG996R-1,1_2,1_02,big_hou_zuo_joint,revolute,-0.0751570307579049,0.0903,-0.0265877928315861,0.0764813194979033,0,-1.57079632679489,base_link,1,0,0,1,1,-3,3,,,,,,,,
small_hou_zuo,0.00767726538820115,2.67927427767545E-06,-0.0417241072124587,0,0,0,0.0485888195107094,5.53620087490208E-05,-1.0930280542396E-12,-9.32800189449413E-07,4.64562168018682E-05,-3.68190150764586E-12,1.03749534322517E-05,0,0,0,0,0,0,package://qwe.SLDASM/meshes/small_hou_zuo.STL,0.831372549019608,0.670588235294118,0.129411764705882,1,0,0,0,0,0,0,package://qwe.SLDASM/meshes/small_hou_zuo.STL,,大腿总成-2/6706一30x37x4轴承-1;大腿总成-2/舵盘-1;小腿总成-3/m3x25铜柱-2;小腿总成-3/m3x25铜柱-4;小腿总成-3/m3x25铜柱-1;小腿总成-3/m3x25铜柱-3;小腿总成-3/电机座-1;小腿总成-3/电机-1;小腿总成-3/小腿电机-1;小腿总成-3/小腿-1,2_2,2_02,small_hou_zuo_joint,revolute,-0.0228,0,-0.0616409133919558,0.041766101362966,0,0,big_hou_zuo,1,0,0,1,1,-3,3,,,,,,,,
last_hou_zuo,-0.015,-3.60822483003176E-16,3.05311331771918E-16,0,0,0,0.149109068746913,0.000118053785956217,1.1899381830226E-18,-9.38985349306239E-19,7.00002951751582E-05,1.79994501289336E-21,7.00002951751582E-05,0,0,0,0,0,0,package://qwe.SLDASM/meshes/last_hou_zuo.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://qwe.SLDASM/meshes/last_hou_zuo.STL,,小腿总成-3/轮子-1,3_2,3_02,last_hou_zuo_joint,continuous,0.0559999999999993,0,-0.0800000000000008,1.430547240631,0,0,small_hou_zuo,-1,0,0,1,1,,,,,,,,,,
