step,sim_time,vel_x,base_height,pitch_deg,joint_err_mean,joint_err_max,torque_max,sat_ratio,dact_norm,obs_max,clip_dims,sim_hz,wall_hz,resets
50,1.0000000000000007,-0.13838253008424345,0.1595173138167945,-1.6884371315491018,0.02380844011449186,0.04830366414933557,3.92,0.6666666666666666,0.8342056802955014,4.344104740330532,0,49.99999999999996,326.4635413963672,0
100,1.9999999999999793,0.3526951600883236,0.16467927298218438,4.21907267527251,0.04309264555902386,0.08892263167309578,3.92,0.75,0.8147345136625936,2.864416534951481,0,50.00000000000051,521.5723796880379,0
150,2.9999999999999583,0.5182836720130631,0.16934737028532584,4.837787006112027,0.03542066480688056,0.07844878559669205,3.92,0.8333333333333334,0.8331094635872954,1.9781792710153867,0,50.000000000000696,642.7561301112668,0
200,3.999999999999937,-0.002313353637675143,0.1666213694633435,-2.6266851357036076,0.039248735763298036,0.12419222231697902,3.92,0.75,0.8586561306080904,1.8083408354569623,0,50.00000000000079,735.079747333895,0
250,4.999999999999916,0.1647726843225612,0.17891723393598796,10.802956565458752,0.022593995991479696,0.09146921299982301,3.92,0.8333333333333334,0.8444341387599706,3.5361412987533525,0,50.000000000001066,1262.2675288510338,0
300,5.999999999999894,-0.00016349522386050787,0.16340197336639894,6.045310638442273,0.015700486153443306,0.03401407528921774,3.92,0.6666666666666666,0.8407701188325882,2.3084540358926304,0,50.000000000001066,1262.8755449064622,0
350,6.999999999999873,0.03735565102288921,0.16689529227769773,1.4951864605115648,0.026165806386099832,0.05082130821859454,3.92,0.75,0.848332691192627,2.724964884392346,0,50.000000000001066,1290.3692335104224,0
400,7.999999999999852,0.32649942834619666,0.16570157694265575,3.346371736208772,0.029006173819524472,0.12449645030471898,3.92,0.8333333333333334,0.8298193322867156,1.7227060504888516,0,50.000000000001066,1294.2743427398361,0
450,9.000000000000007,-0.019604879003390117,0.16381010398713902,0.6132963518803036,0.018615870097718024,0.0416828876188825,3.92,0.75,0.8642935778945684,2.1053974694124205,0,49.999999999998856,1301.1863194594746,0
500,10.000000000000163,0.24105505551317774,0.1695286138604574,-1.1006093872298341,0.03951319317267182,0.17196982756027224,3.92,0.8333333333333334,0.8980849178135395,1.4167494563479481,0,49.99999999999663,1303.5902276175973,0
550,11.00000000000032,-0.10286597217572249,0.16270031925658604,-0.8305446256843301,0.01875237055781413,0.0411292998937236,3.92,0.6666666666666666,0.9000688603520394,1.4141369347287542,0,49.999999999994415,1293.0075904300588,0
600,12.000000000000476,-0.07609679238188502,0.1680525487557443,-0.5920575799511855,0.018944829223007307,0.033985163644736804,3.92,0.75,0.909636203199625,2.178749590103343,0,49.99999999999219,1288.8855146372748,0
650,13.000000000000632,0.13206648831606344,0.15845387105959907,2.3387020673073873,0.03117175835939336,0.06246344743894139,3.92,0.8333333333333334,0.8866635532677174,3.161467167342225,0,49.999999999992184,1291.5530553701321,0
700,14.000000000000789,0.05035365488285377,0.16655840403615227,-7.631976193905551,0.032688761772012284,0.11625777116272573,3.92,0.9166666666666666,0.8747812819480896,1.5360495109671288,0,49.999999999992184,1287.8436808085041,0
750,15.000000000000945,0.03410413685480944,0.1775545188175724,-13.0919268598118,0.01812062378121239,0.04594640118405191,3.92,0.4166666666666667,0.8750570617616177,2.826617073111732,0,49.999999999992184,1293.505873593635,0
800,16.0000000000011,-0.4234260896169824,0.15718864762365217,-42.76357913222479,0.023860364151393518,0.06130600455416613,3.92,0.5833333333333334,0.8558457466959953,1.7393478928937098,0,49.999999999992184,1295.627523400168,0
850,17.000000000000902,0.17072855968664438,0.16528181108682205,2.3263911208623553,0.01845326000811735,0.05422167629374208,3.92,0.8333333333333334,0.8412331236898899,1.744584855181471,0,49.999999999996625,1299.0649948580074,1
900,18.000000000000703,-0.09169041283143335,0.17238131703162157,-0.054084612193115576,0.0277820634953978,0.09634791993932285,3.92,0.8333333333333334,0.832679525911808,1.8253680403126515,0,50.000000000001066,1299.001410580721,1
950,19.000000000000504,-0.0017473403649288866,0.16428952791989387,-2.5164822221648744,0.03715191353121188,0.08854933831094858,3.92,0.75,0.8069680812954902,3.7736796571489437,0,50.00000000000551,1304.8024022518682,1
1000,20.000000000000306,0.37547048200300254,0.17272085434380083,7.743182649067264,0.024695223810110783,0.06314681069429395,3.92,0.8333333333333334,0.8353803122788668,3.090931162653563,0,50.00000000000995,1305.552848687016,1
1050,21.000000000000107,-0.08803412404849251,0.1662043063061365,5.96272844721036,0.02971893352561675,0.08289051170839312,3.92,0.6666666666666666,0.8558300863951445,2.662760898241321,0,50.00000000000995,1290.4022526610986,1
1100,21.999999999999908,-0.1634651976605167,0.16509430973512293,1.7888744190694972,0.04358519011673454,0.14934836734360746,3.92,0.8333333333333334,0.8452160747349262,3.0898935713831177,0,50.00000000000995,1295.7304576843123,1
1150,22.99999999999971,-0.2306388347573434,0.1584358258530813,-0.03007206439477354,0.025781994149835948,0.1148462579835511,3.92,0.9166666666666666,0.8524304154515266,1.848216222112369,0,50.00000000000995,1001.8548941690879,1
1200,23.99999999999951,-0.17192970210118147,0.16301638879455901,1.5399104629220661,0.022956684023273787,0.06102593312614551,3.92,0.75,0.8459359756857157,1.7068323332621482,0,50.00000000000995,937.4685024793771,1
1250,24.99999999999931,0.023122994366515572,0.16152077295912737,1.8915628082187563,0.0398481424148776,0.08761606235790839,3.92,0.9166666666666666,0.8541049357503653,3.0563754814298445,0,50.00000000000995,912.6608274715309,1
1300,25.999999999999112,0.23711590781847894,0.16181683301652872,4.120889528280829,0.04384636299040218,0.13896053711938705,3.92,0.8333333333333334,0.8771590213477611,3.348636221523922,0,50.00000000000995,908.5888230362559,1
1350,26.999999999998913,-0.005125055395788811,0.16525095786807614,-6.050166454101341,0.03458545580211166,0.06641538241209521,3.92,0.9166666666666666,0.9072819718718529,2.3349449111047127,0,50.00000000000995,1139.0582533850347,1
1400,27.999999999998714,0.14041864094756706,0.16961792864757924,7.991971123563301,0.032061540613175725,0.09755380556291782,3.92,0.6666666666666666,0.9009322734177112,2.741231237763175,0,50.00000000000995,1228.3922427255745,1
1450,28.999999999998515,0.26520342981965483,0.1658772308034754,1.7583078776511072,0.02025040117159149,0.03856198635316381,3.92,0.8333333333333334,0.8814744529128075,2.346097544640924,0,50.00000000000995,1280.298241948548,1
1500,29.999999999998316,0.2942873899902989,0.16389237752147953,-12.69347526827995,0.02756969312529106,0.06639333842190454,3.92,0.8333333333333334,0.8795525798201561,2.025606666624835,0,50.00000000000995,1283.7054926884812,1
1550,30.999999999998117,-0.2274194642639978,0.16274840400411894,-9.17390178993912,0.01749465410166683,0.06208916239550322,3.92,0.75,0.8765931150317192,3.115717837400213,0,50.00000000000995,1270.2109134813743,1
1600,31.999999999997918,0.15880321384339519,0.16177912349000698,-12.14352998436231,0.03190656206462907,0.18231206634264452,3.92,0.75,0.8788491360843181,1.6362217894317341,0,50.00000000000995,1242.9256015883764,1
1650,32.99999999999843,-0.1130813436105122,0.17167774507865807,9.984274455197454,0.040323978019990915,0.20891755844465887,3.92,0.8333333333333334,0.8449686743319035,3.8414318593808163,0,50.000000000001066,1246.5227005159431,2
1700,33.99999999999894,0.17921003852189088,0.16920613480589083,3.5808654789668823,0.011968767533780391,0.026757767257170606,3.92,0.9166666666666666,0.8404769918322563,1.6025929012949032,0,49.999999999992184,1244.6953650266107,2
1750,34.99999999999945,0.12361461026030394,0.16430957710342517,5.423791577581206,0.02617107547157624,0.04988643701913553,3.92,0.9166666666666666,0.8085263888537884,1.8450945169340447,0,49.9999999999833,1257.3490081606765,2
1800,35.999999999999964,-0.009116906859137547,0.16697483737872457,6.50477405832527,0.02146547614837313,0.054825230757407084,3.92,0.75,0.8218014223873615,2.2965975414962823,0,49.99999999997442,1290.3126160163606,2
1850,37.000000000000476,0.22319822969881148,0.17017186064061948,-7.54094519669233,0.027474850117849076,0.06873577552353183,3.92,0.75,0.8634096875041724,2.8215153244093107,0,49.99999999997442,1286.7989266126217,2
1900,38.00000000000099,-0.15868539725298653,0.16050020957143987,2.6725611885321876,0.014332810923118909,0.03002488516006574,3.92,0.6666666666666666,0.8489174652844668,2.1729812141629066,0,49.99999999997442,1287.259542610259,2
1950,39.0000000000015,0.4646562305164345,0.17073155467138354,-5.452338559334608,0.021235626603128676,0.061899364591838535,3.92,0.6666666666666666,0.8383664178848267,2.5055911163356637,0,49.99999999997442,1288.901313518677,2
2000,40.00000000000201,-0.08588604892966414,0.17386994840329076,2.787694453590985,0.025038202611548863,0.047033615812963725,3.92,0.75,0.8298788391053676,2.0615066826664754,0,49.99999999997442,1288.516462778128,2
2050,41.00000000000252,0.024921323465846093,0.16113367965699307,-6.14020172246503,0.014166290667277622,0.03622062574575069,3.92,0.5833333333333334,0.8444807327538729,1.848635043303686,0,49.99999999997442,1279.3797486387787,2
2100,42.000000000003034,0.13903076005022866,0.1719244565476891,-1.1236574395251944,0.01895016475223298,0.05336043374513688,3.92,0.9166666666666666,0.8627120103687048,1.7539866657573628,0,49.99999999997442,1257.8618568315414,2
2150,43.000000000003546,0.22736153935782927,0.15921569948348727,2.4749777372754993,0.022084856366620387,0.0745684130981239,3.92,0.9166666666666666,0.8988758397102355,2.2054178315059794,0,49.99999999997442,1261.1745422849183,2
2200,44.00000000000406,0.2291200175065274,0.1645531637048365,-4.579787171929726,0.013995405502096499,0.040091163764961135,3.92,0.5833333333333334,0.8949644291400909,1.4614371268744517,0,49.99999999997442,1260.2697094472678,2
2250,45.00000000000457,-0.12240037328477399,0.169150155485064,-3.3126819805753716,0.023576584022425823,0.07866555346469517,3.92,0.6666666666666666,0.8905920538306237,1.8568234213307289,0,49.99999999997442,1263.8320014846947,2
2300,46.00000000000508,-0.09037814771989403,0.1660384342962921,-8.338191160874302,0.025431372444623058,0.05648808925930793,3.92,0.9166666666666666,0.8780328734219074,1.8480972448147037,0,49.99999999997442,1284.562750429233,2
2350,47.00000000000559,0.09045086112138975,0.16381654831850803,-3.5305169212394674,0.0425420650397987,0.16533055768628158,3.92,0.5833333333333334,0.8861916211247444,1.8916127883291682,0,49.99999999997442,1282.2976804563436,2
2400,48.000000000006104,0.011653698207833473,0.16875033367383102,-6.249020594008445,0.019044405112712427,0.04371618162615254,3.92,1.0,0.890039622336626,1.2975576846129868,0,49.99999999997442,1278.9883347387536,2
2450,49.000000000006615,0.005982431815072223,0.24085969995010995,0.21752183940322647,0.01617636172097923,0.03880848068043219,3.92,0.9166666666666666,0.8511068592965603,1.6650347133433416,0,49.99999999997442,1289.6839454087071,3
2500,50.00000000000713,-0.12359170489292604,0.16201077641943976,0.909130120744639,0.02776350027867225,0.08851431435544566,3.92,0.9166666666666666,0.8547059261798858,1.782786435864199,0,49.99999999997442,1292.8895335907976,3
2550,51.00000000000764,0.03746352672441163,0.16678515018153994,-5.226496360361123,0.01974010644917221,0.06328218393414564,3.92,0.75,0.8155131128430366,5.0,1,49.99999999997442,1281.7449368555708,3
2600,52.00000000000815,0.27742842477005314,0.1776351068570744,2.573780247003729,0.03421522538095217,0.0894689560442673,3.92,0.75,0.8104379737377166,2.098662116249178,0,49.99999999997442,1286.0402405062828,3
2650,53.00000000000866,-0.0036428957154064703,0.15966942508513168,-3.5580652166983606,0.021858610284313837,0.06294071137721677,3.92,0.75,0.8569271620362997,2.3159832504987157,0,49.99999999997442,1273.5091946195957,3
2700,54.00000000000917,0.0946513395008858,0.17499202558419988,14.117422333659219,0.02259955134911652,0.04796049383193879,3.92,0.5833333333333334,0.8441430389136076,4.910083401576921,0,49.99999999997442,1272.0174290549025,3
2750,55.000000000009685,-0.09945341421956617,0.16618037944383726,1.8302036901693268,0.025645654837607387,0.0689445288576982,3.92,0.9166666666666666,0.8421084466576576,2.3681477393745456,0,49.99999999997442,1279.8022427960889,3
2800,56.000000000010196,-0.029134739766125847,0.15799637610132847,-3.604019033604524,0.022184864848163118,0.066761448865848,3.92,0.9166666666666666,0.8385257530212402,3.4088008383441344,0,49.99999999997442,1281.0637299276464,3
2850,57.00000000001071,0.3224365032739679,0.16924993320320103,-0.4940132385618647,0.03744015549821267,0.12133569199197891,3.92,0.8333333333333334,0.8361781989783048,2.824240293048437,0,49.99999999997442,1288.2518114899592,3
2900,58.00000000001122,0.17320840656997266,0.16934740847589508,3.020708982260328,0.024418302678154796,0.045403238258065026,3.92,0.6666666666666666,0.8627151816338301,2.7399025204540997,0,49.99999999997442,1286.07804188417,3
2950,59.00000000001173,0.4453105390735153,0.1792709099651361,-2.361358200894652,0.025302777311282765,0.06530955433979557,3.92,1.0,0.8976029957830906,2.1825414631131226,0,49.99999999997442,1287.6504650934269,3
3000,60.00000000001224,0.022753764153804593,0.16250888236597708,1.9455002496791451,0.023952211706390822,0.06573196976591511,3.92,0.9166666666666666,0.9022077375650406,2.9953949069883223,0,49.99999999997442,1287.858931383246,3
